email,name,company,role,location,lead_score,phone,source
housekeeping@theleonardo.co.za,Executive Housekeeping Operations (The Leonardo Sandton),The Leonardo Sandton,Executive Housekeeping Operations,Sandton CBD,96,+27 11 888 8000,Gauteng Luxury Hotel Registry
rooms@themaslow.co.za,Rooms Division Director (The Maslow Sandton),The Maslow Sandton,Rooms Division Director,Sandton CBD,95,+27 11 783 3000,Gauteng Luxury Hotel Registry
gm@michelangelo.co.za,General Manager (The Michelangelo Hotel),The Michelangelo Hotel,General Manager,Sandton CBD,94,+27 11 282 7000,Gauteng Luxury Hotel Registry
housekeeping@saxon.co.za,"Director of Housekeeping (Saxon Hotel, Villas & Spa)","Saxon Hotel, Villas & Spa",Director of Housekeeping,"Sandhurst, Sandton",98,+27 11 292 6000,Gauteng Luxury Hotel Registry
gm@sanctuarymandela.com,General Manager (Sanctuary Mandela),Sanctuary Mandela,General Manager,Houghton / Rosebank,93,+27 10 541 0850,Gauteng Luxury Hotel Registry
housekeeping@54onbath.co.za,Executive Housekeeper (54 on Bath),54 on Bath,Executive Housekeeper,Rosebank,95,+27 11 344 8500,Gauteng Luxury Hotel Registry
operations@vocojhb.co.za,Hotel Operations Manager (voco Johannesburg Rosebank),voco Johannesburg Rosebank,Hotel Operations Manager,Rosebank,92,+27 10 023 0000,Gauteng Luxury Hotel Registry
gm@hyatthouserosebank.co.za,General Manager (Hyatt House Rosebank),Hyatt House Rosebank,General Manager,Rosebank,91,+27 10 601 1234,Gauteng Luxury Hotel Registry
gm@tenbompas.com,General Manager (Ten Bompas Hotel),Ten Bompas Hotel,General Manager,Dunkeld West / Rosebank,92,+27 11 325 2442,Gauteng Luxury Hotel Registry
manager@thewinstonhotel.co.za,Hotel Manager (The Winston Hotel),The Winston Hotel,Hotel Manager,"Melrose, Rosebank",90,+27 11 268 3140,Gauteng Luxury Hotel Registry
gm.bath@thecapital.co.za,General Manager (The Capital on Bath),The Capital on Bath,General Manager,Rosebank,90,+27 11 290 9700,Gauteng Luxury Hotel Registry
operations.empire@thecapital.co.za,Operations Manager (The Capital Empire),The Capital Empire,Operations Manager,Sandton,91,+27 11 783 7737,Gauteng Luxury Hotel Registry
housekeeping.20west@thecapital.co.za,Housekeeping Supervisor (The Capital 20 West),The Capital 20 West,Housekeeping Supervisor,Sandton,89,+27 11 722 7400,Gauteng Luxury Hotel Registry
rooms.park@thecapital.co.za,Rooms Division Manager (The Capital On Park),The Capital On Park,Rooms Division Manager,Sandton,92,+27 10 443 0000,Gauteng Luxury Hotel Registry
gm.melrose@thecapital.co.za,General Manager (The Capital Melrose),The Capital Melrose,General Manager,Melrose Arch,91,+27 10 880 3400,Gauteng Luxury Hotel Registry
villa.sandhurst@thecapital.co.za,Estate Hotel Manager (The Capital Villa Sandhurst),The Capital Villa Sandhurst,Estate Hotel Manager,Sandhurst,94,+27 11 290 9700,Gauteng Luxury Hotel Registry
gm.menlyn@thecapital.co.za,General Manager (The Capital Menlyn Maine),The Capital Menlyn Maine,General Manager,Pretoria East,92,+27 12 942 5000,Gauteng Luxury Hotel Registry
leshen.naidoo@southernsun.com,General Manager (Southern Sun Sandton),Southern Sun Sandton,General Manager,Sandton,95,+27 11 780 5000,Gauteng Luxury Hotel Registry
housekeeping.rosebank@southernsun.com,Executive Housekeeper (Southern Sun Rosebank),Southern Sun Rosebank,Executive Housekeeper,Rosebank,93,+27 11 448 3600,Gauteng Luxury Hotel Registry
gm.hydepark@southernsun.com,Hotel Manager (Southern Sun Hyde Park),Southern Sun Hyde Park,Hotel Manager,Hyde Park,94,+27 11 341 8080,Gauteng Luxury Hotel Registry
