email,name,company,role,location,lead_score,phone,source
facilities@growthpoint.co.za,Head of Facilities Management (Growthpoint Properties Gauteng),Growthpoint Properties Gauteng,Head of Facilities Management,Sandton,97,+27 11 944 6000,Gauteng Commercial Real Estate Registry
facilities@redefine.co.za,National Facilities Director (Redefine Properties Commercial),Redefine Properties Commercial,National Facilities Director,Rosebank,96,+27 11 549 9000,Gauteng Commercial Real Estate Registry
facilities.jhb@broll.com,Senior Facilities Manager (Broll Property Group Gauteng),Broll Property Group Gauteng,Senior Facilities Manager,Sandton,96,+27 11 441 4000,Gauteng Commercial Real Estate Registry
assetmanagement@jhi.co.za,Commercial Asset Manager (JHI Excellence in Property),JHI Excellence in Property,Commercial Asset Manager,Rosebank,94,+27 11 911 8000,Gauteng Commercial Real Estate Registry
corporate.services@cushwakebroll.com,Director of Corporate Real Estate (Cushman & Wakefield | BROLL),Cushman & Wakefield | BROLL,Director of Corporate Real Estate,Sandton,95,+27 11 441 4000,Gauteng Commercial Real Estate Registry
facilities@attacq.co.za,Infrastructure & Facilities Lead (Attacq Waterfall City Management),Attacq Waterfall City Management,Infrastructure & Facilities Lead,"Waterfall City, Midrand",98,+27 10 549 1050,Gauteng Commercial Real Estate Registry
operations@sandtoncity.com,Operations & Building Manager (Sandton City Management Office),Sandton City Management Office,Operations & Building Manager,Sandton CBD,96,+27 11 217 6000,Gauteng Commercial Real Estate Registry
facilities@nelsonmandelasquare.co.za,Facilities Manager (Nelson Mandela Square Management),Nelson Mandela Square Management,Facilities Manager,Sandton CBD,94,+27 11 217 6000,Gauteng Commercial Real Estate Registry
workplace@discovery.co.za,Head of Workplace Facilities (Discovery Place Corporate HQ),Discovery Place Corporate HQ,Head of Workplace Facilities,Sandton CBD,98,+27 11 529 2888,Gauteng Commercial Real Estate Registry
facilities@investec.co.za,Corporate Real Estate Services (Investec Sandton Headquarters),Investec Sandton Headquarters,Corporate Real Estate Services,Sandton CBD,97,+27 11 286 7000,Gauteng Commercial Real Estate Registry
facilities@sasol.com,Facilities & Workplace Lead (Sasol Corporate Headquarters),Sasol Corporate Headquarters,Facilities & Workplace Lead,Sandton CBD,96,+27 11 344 0000,Gauteng Commercial Real Estate Registry
facilities.towers@standardbank.co.za,Building Facilities Manager (Standard Bank Rosebank Towers),Standard Bank Rosebank Towers,Building Facilities Manager,Rosebank,95,+27 11 636 9111,Gauteng Commercial Real Estate Registry
facilities@oxfordparks.co.za,Estate Facilities Director (Oxford Parks Management Office),Oxford Parks Management Office,Estate Facilities Director,Rosebank,96,+27 11 880 8800,Gauteng Commercial Real Estate Registry
manager@rosebanklink.co.za,Building Manager (Rosebank Link Commercial Suites),Rosebank Link Commercial Suites,Building Manager,Rosebank,93,+27 11 880 1200,Gauteng Commercial Real Estate Registry
facilities@alicelane.co.za,Facilities Lead (Alice Lane Towers Management),Alice Lane Towers Management,Facilities Lead,Sandton CBD,95,+27 11 784 1000,Gauteng Commercial Real Estate Registry
operations@sandtonconventioncentre.co.za,Head of Operations & Maintenance (Sandton Convention Centre),Sandton Convention Centre,Head of Operations & Maintenance,Sandton CBD,96,+27 11 779 0000,Gauteng Commercial Real Estate Registry
facilities@vodaworld.co.za,Facilities Manager (Vodaworld Events & Facilities),Vodaworld Events & Facilities,Facilities Manager,Midrand,92,+27 11 653 5000,Gauteng Commercial Real Estate Registry
operations@gallagher.co.za,Operations Manager (Gallagher Convention Centre),Gallagher Convention Centre,Operations Manager,Midrand,93,+27 11 340 8000,Gauteng Commercial Real Estate Registry
