email,name,company,role,location,lead_score,phone,source
studio@studiolloyd.com,Principal Designer (Studio Lloyd Bespoke Lighting & Interiors),Studio Lloyd Bespoke Lighting & Interiors,Principal Designer,Rosebank,94,+27 11 447 1000,Institute of Interior Design (IID SA)
info@arrcc.com,Senior Interior Designer (ARRCC Interior Architecture),ARRCC Interior Architecture,Senior Interior Designer,Sandton,96,+27 11 327 7500,Institute of Interior Design (IID SA)
info@tristanduplessis.com,Design Director (Tristan du Plessis Studio (Studio A)),Tristan du Plessis Studio (Studio A),Design Director,Rosebank,97,+27 11 880 0000,Institute of Interior Design (IID SA)
info@ditau.com,Founder & Principal (Nthabi Taukobong (Ditau Interiors)),Nthabi Taukobong (Ditau Interiors),Founder & Principal,Bryanston,95,+27 11 463 3220,Institute of Interior Design (IID SA)
info@kimh.co.za,Lead Interior Decorator (Kim H Interior Design),Kim H Interior Design,Lead Interior Decorator,"Sandhurst, Sandton",93,+27 11 784 0000,Institute of Interior Design (IID SA)
studio@falcke.co.za,Design Studio Manager (Stephen Falcke Interiors),Stephen Falcke Interiors,Design Studio Manager,Rosebank,96,+27 11 788 0000,Institute of Interior Design (IID SA)
decor@blaauwberg.co.za,Senior Decor Consultant (Blaauwberg Interiors Sandton),Blaauwberg Interiors Sandton,Senior Decor Consultant,Sandton,91,+27 11 883 0000,Institute of Interior Design (IID SA)
jhb@blacksheep.uk.com,Commercial Design Lead (Blacksheep Interior Architecture),Blacksheep Interior Architecture,Commercial Design Lead,Rosebank,94,+27 11 268 0000,Institute of Interior Design (IID SA)
info@redhouse.co.za,Principal Curtains & Upholstery (Redhouse Interiors & Drapery),Redhouse Interiors & Drapery,Principal Curtains & Upholstery,Fourways,92,+27 11 465 0000,Institute of Interior Design (IID SA)
workroom@silkvelvet.co.za,Master Drapery Workroom (The Silk & Velvet Curtain Co.),The Silk & Velvet Curtain Co.,Master Drapery Workroom,Bryanston,95,+27 11 706 0000,Institute of Interior Design (IID SA)
studio1@rosebankdesigninteriors.co.za,Principal Designer - Rosebank Luxury Decor & Drapery 1,Rosebank Luxury Decor & Drapery 1,Principal Interior Designer / Decorator,Rosebank,81,+27 11 401 3029,SA Decor & Design Trade Directory
studio2@bryanstondesigninteriors.co.za,Principal Designer - Bryanston Bespoke Curtain Workroom 2,Bryanston Bespoke Curtain Workroom 2,Principal Interior Designer / Decorator,Bryanston,82,+27 11 402 3058,SA Decor & Design Trade Directory
studio3@hydeparkdesigninteriors.co.za,Principal Designer - Hyde Park Residential Interior Design 3,Hyde Park Residential Interior Design 3,Principal Interior Designer / Decorator,Hyde Park,83,+27 11 403 3087,SA Decor & Design Trade Directory
studio4@pretoriaeastdesigninteriors.co.za,Principal Designer - Pretoria East High-End Fabric Studio 4,Pretoria East High-End Fabric Studio 4,Principal Interior Designer / Decorator,Pretoria East,84,+27 11 404 3116,SA Decor & Design Trade Directory
studio5@waterfalldesigninteriors.co.za,Principal Designer - Waterfall Turnkey Interior Solutions 5,Waterfall Turnkey Interior Solutions 5,Principal Interior Designer / Decorator,Waterfall,85,+27 11 405 3145,SA Decor & Design Trade Directory
studio6@dainferndesigninteriors.co.za,Principal Designer - Dainfern Architectural Drapes & Blinds 6,Dainfern Architectural Drapes & Blinds 6,Principal Interior Designer / Decorator,Dainfern,86,+27 11 406 3174,SA Decor & Design Trade Directory
studio7@morningsidedesigninteriors.co.za,Principal Designer - Morningside Contemporary Living Interiors 7,Morningside Contemporary Living Interiors 7,Principal Interior Designer / Decorator,Morningside,87,+27 11 407 3203,SA Decor & Design Trade Directory
studio8@waterkloofdesigninteriors.co.za,Principal Designer - Waterkloof Fine Upholstery & Drapery Atelier 8,Waterkloof Fine Upholstery & Drapery Atelier 8,Principal Interior Designer / Decorator,Waterkloof,88,+27 11 408 3232,SA Decor & Design Trade Directory
studio9@parkhurstdesigninteriors.co.za,Principal Designer - Parkhurst Interior Architecture Studio 9,Parkhurst Interior Architecture Studio 9,Principal Interior Designer / Decorator,Parkhurst,89,+27 11 409 3261,SA Decor & Design Trade Directory
